1321098795	20250902	202509	2025	2025.6630	LEG	LEGISLATURE						LEG													1	052	052	05	1	3.5	6	1	6	0.20964360587002	3	Oakland, California, United States	US	USCA	CA001	37.8044	-122.271	277566	0								3	Oakland, California, United States	US	USCA	CA001	37.8044	-122.271	277566	20260902123000	https://www.latimes.com/environment/story/2026-09-02/sweeping-climate-energy-legislation-goes-to-newsoms-desk
1321098796	20250902	202509	2025	2025.6630	LEG	LEGISLATURE						LEG													1	052	052	05	1	3.5	4	1	4	0.20964360587002	2	California, United States	US	USCA		36.17	-119.746	CA	0								2	California, United States	US	USCA		36.17	-119.746	CA	20260902123000	https://www.latimes.com/environment/story/2026-09-02/sweeping-climate-energy-legislation-goes-to-newsoms-desk
1321098797	20250902	202509	2025	2025.6630	PAK	PAKISTAN	PAK																		0	036	036	03	1	4.0	2	1	2	-0.14738393515107	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	0								4	Bishkek, Bishkek, Kyrgyzstan	KG	KG01	37216	42.8731	74.6003	-2331392	20260902123000	https://www.samaa.tv/2087356166-pakistan-to-continue-diplomacy-despite-middle-east-tensions-fo
1321098798	20260902	202609	2026	2026.6630											AFRCVL	AFRICA	AFR					CVL			1	112	112	11	3	-2.0	2	1	2	-7.47126436781609	0								4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20260902123000	https://www.africanews.com/2026/09/02/multimillion-rand-drug-lab-suspects-appear-in-safrica-court/
1321098799	20260902	202609	2026	2026.6630											AUS	AUSTRALIA	AUS								0	020	020	02	1	3.0	4	1	4	-2.46995994659546	0								2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20260902123000	https://www.theguardian.com/technology/2026/sep/02/ai-jobs-freelance-cleanup
1321098800	20260902	202609	2026	2026.6630											AUS	AUSTRALIA	AUS								1	190	190	19	4	-10.0	8	1	8	-4.49678800856531	0								4	Mandurah, Western Australia, Australia	AS	AS08	5522	-32.5269	115.722	-1585527	4	Mandurah, Western Australia, Australia	AS	AS08	5522	-32.5269	115.722	-1585527	20260902123000	https://www.perthnow.com.au/news/crime/police-arrest-teen-over-rock-attack-in-falcon-that-left-man-with-severe-facial-injuries--c-22815522
1321098801	20260902	202609	2026	2026.6630											BUS	BUSINESS						BUS			1	014	014	01	1	0.0	3	1	3	-1.81818181818182	0								4	Naruto, Tokushima, Japan	JA	JA39	36269	34.1833	134.617	-238521	4	Naruto, Tokushima, Japan	JA	JA39	36269	34.1833	134.617	-238521	20260902123000	https://www.manilatimes.net/2026/09/02/entertainment-lifestyle/saint-seiya-anime-author-claims-former-aide-embezzled-29m/2416827
1321098802	20260902	202609	2026	2026.6630											BUS	INVESTOR						BUS			1	040	040	04	1	1.0	10	1	10	5.24691358024692	0								3	San Francisco, California, United States	US	USCA		37.7749	-122.419	277593	3	San Francisco, California, United States	US	USCA		37.7749	-122.419	277593	20260902123000	https://www.standard-freeholder.com/press-releases/newsfile/alliance-advisors-ir-announces-2027-healthcare-meeting-program-san-francisco-and-appoints-vivian-cervantes-as-head-of-healthcare/
1321098803	20260902	202609	2026	2026.6630											BUS	CHAMBER OF COMMERCE AND INDUSTRY						BUS			1	043	043	04	1	2.8	2	1	2	2.11442786069651	0								4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20260902123000	https://orissadiary.com/energy-security-inseparable-from-national-security-strategic-autonomy-and-economic-resilience-dr-jitendra-singh/
1321098804	20260902	202609	2026	2026.6630											BUS	COMPANIES						BUS			0	050	050	05	1	3.5	6	1	6	0.40106951871657	0								3	Harwood, North Dakota, United States	US	USND	ND017	46.9794	-96.8806	1029332	3	Harwood, North Dakota, United States	US	USND	ND017	46.9794	-96.8806	1029332	20260902123000	https://kfgo.com/2026/09/02/north-dakota-governor-says-data-center-transparency-bill-not-needed/
1321098805	20260902	202609	2026	2026.6630											BUS	COMPANIES						BUS			0	050	050	05	1	3.5	2	1	2	0.40106951871657	0								3	Harwood, North Dakota, United States	US	USND	ND017	46.9794	-96.8806	1029332	2	North Dakota, United States	US	USND		47.5362	-99.793	ND	20260902123000	https://kfgo.com/2026/09/02/north-dakota-governor-says-data-center-transparency-bill-not-needed/
1321098806	20260902	202609	2026	2026.6630											BUS	COMPANIES						BUS			0	050	050	05	1	3.5	2	1	2	0.40106951871657	0								2	North Dakota, United States	US	USND		47.5362	-99.793	ND	2	North Dakota, United States	US	USND		47.5362	-99.793	ND	20260902123000	https://kfgo.com/2026/09/02/north-dakota-governor-says-data-center-transparency-bill-not-needed/
1321098807	20260902	202609	2026	2026.6630											BUS	BANK						BUS			0	051	051	05	1	3.4	10	1	10	4.20070011668611	0								2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20260902123000	https://www.bctv.org/2026/09/02/helping-harvest-calls-on-berks-schuylkill-counties-to-play-your-part/
