1321336001	20250903	202509	2025	2025.6658											USA	UNITED STATES	USA								0	071	071	07	2	7.4	2	1	2	-5.28700906344411	0								3	Shanksville, Pennsylvania, United States	US	USPA	PA111	40.0179	-78.9072	1187353	3	Shanksville, Pennsylvania, United States	US	USPA	PA111	40.0179	-78.9072	1187353	20260903173000	https://www.hometownregister.com/news/national/9-11-victims-urged-to-sign-up-for-compensation-fund/article_41500953-f0d1-53e3-aafc-7a37b4f0d2f0.html
1321336002	20250903	202509	2025	2025.6658	EDU	STUDENT						EDU			SAUGOV	ABDULLAH	SAU					GOV			0	010	010	01	1	0.0	3	1	3	-2.81569965870308	4	Mukalla, ?a?ramawt, Yemen	YM	YM04	145013	14.5425	49.1242	-3183737	4	Mukalla, ?a?ramawt, Yemen	YM	YM04	145013	14.5425	49.1242	-3183737	4	Mukalla, ?a?ramawt, Yemen	YM	YM04	145013	14.5425	49.1242	-3183737	20260903173000	https://www.arabnews.com/middle-east/yemeni-families-struggle-with-soaring-costs-as-children-return-to-school-3000409
1321336003	20250903	202509	2025	2025.6658	EDU	STUDENT						EDU			YEM	YEMEN	YEM								0	010	010	01	1	0.0	2	1	2	-2.81569965870308	4	Mukalla, ?a?ramawt, Yemen	YM	YM04	145013	14.5425	49.1242	-3183737	4	Mukalla, ?a?ramawt, Yemen	YM	YM04	145013	14.5425	49.1242	-3183737	4	Mukalla, ?a?ramawt, Yemen	YM	YM04	145013	14.5425	49.1242	-3183737	20260903173000	https://www.arabnews.com/middle-east/yemeni-families-struggle-with-soaring-costs-as-children-return-to-school-3000409
1321336004	20250903	202509	2025	2025.6658	GOV	ADMINISTRATION						GOV			USAEDU	CALIFORNIA	USA					EDU			1	071	071	07	2	7.4	10	1	10	-3.78071833648393	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20260903173000	https://www.upi.com/Top_News/US/2026/09/03/trump-administration-private-schools-race-tax-exempt/4431788453431/
1321336005	20260804	202608	2026	2026.5863	BUS	COMPANIES						BUS													1	010	010	01	1	0.0	3	1	3	0.78125	1	Serbia	RI	RI		44	21	RI	0								4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	20260903173000	https://news.az/news/azerbaijan-serbia-agree-on-joint-gas-power-venture
1321336006	20260804	202608	2026	2026.5863	BUS	COMPANIES						BUS			GOV	GOVERNMENT						GOV			1	010	010	01	1	0.0	5	1	5	0.78125	1	Serbia	RI	RI		44	21	RI	4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	20260903173000	https://news.az/news/azerbaijan-serbia-agree-on-joint-gas-power-venture
1321336007	20260804	202608	2026	2026.5863	GBR	UNITED KINGDOM	GBR																		1	043	043	04	1	2.8	1	1	1	0	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	0								3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20260903173000	https://www.thisisoxfordshire.co.uk/news/26519115.trump-really-good-relationship-king-charles/
1321336008	20260804	202608	2026	2026.5863	GBR	UNITED KINGDOM	GBR								JUD	TRIBUNAL						JUD			1	100	100	10	3	-5.0	5	1	5	-3.08166409861325	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20260903173000	https://natlawreview.com/article/uk-consumer-action-against-apple-icloud-will-test-platform-antitrust-theories
1321336009	20260804	202608	2026	2026.5863	MNCUSA	NVIDIA	USA					MNC													0	111	111	11	3	-2.0	3	1	3	1.68918918918919	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	0								1	France	FR	FR		46	2	FR	20260903173000	https://www.ksl.com:443/article/51619669/nvidia-to-buy-hugging-face-for-13b-in-big-bet-on-open-ai-models
1321336010	20260804	202608	2026	2026.5863	MNCUSA	NVIDIA	USA					MNC													0	111	111	11	3	-2.0	7	2	7	1.84217369429668	1	France	FR	FR		46	2	FR	0								1	France	FR	FR		46	2	FR	20260903173000	https://nypost.com/2026/09/03/business/nvidia-buying-ai-startup-hugging-face-for-whopping-13b/
1321336011	20260804	202608	2026	2026.5863	USA	UNITED STATES	USA								LEG	SENATE						LEG			0	013	013	01	1	0.4	2	1	2	-2.27686703096539	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20260903173000	https://hightimes.com/analysis/trump-signs-hemp-ban-delay-december-11/
1321336012	20260827	202608	2026	2026.6493											USA	UNITED STATES	USA								0	043	043	04	1	2.8	4	1	4	-2.06611570247933	0								3	Long Island, Connecticut, United States	US	USCT		41.2182	-73.1134	208563	3	Long Island, Connecticut, United States	US	USCT		41.2182	-73.1134	208563	20260903173000	https://onthewater.com/barracuda-landed-in-massachusetts-a-rare-warm-water-visitor-to-the-northeast-canyons
1321336013	20260827	202608	2026	2026.6493											USA	UNITED STATES	USA								0	043	043	04	1	2.8	4	1	4	-2.06611570247933	0								3	Long Island, Connecticut, United States	US	USCT		41.2182	-73.1134	208563	2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	20260903173000	https://onthewater.com/barracuda-landed-in-massachusetts-a-rare-warm-water-visitor-to-the-northeast-canyons
1321336014	20260827	202608	2026	2026.6493	COP	POLICE						COP			JUD	PROSECUTING ATTORNEY						JUD			1	180	180	18	4	-9.0	6	1	6	-9.52955367913145	2	Hawaii, United States	US	USHI		21.1098	-157.531	HI	2	Hawaii, United States	US	USHI		21.1098	-157.531	HI	2	Hawaii, United States	US	USHI		21.1098	-157.531	HI	20260903173000	https://www.dailymail.com/crime-desk/article-16102037/Veteran-Hawaii-cop-car-crash-female-victim-raped-arrested.html
1321336015	20260827	202608	2026	2026.6493	ISR	ISRAEL	ISR																		1	1053	105	10	3	-5.0	4	1	4	-6.89655172413793	1	Israel	IS	IS		31.5	34.75	IS	0								1	Israel	IS	IS		31.5	34.75	IS	20260903173000	https://www.arabnews.com/middle-east/israel-transfers-body-of-slain-palestinian-to-family-after-8-months-of-retention-3000411
1321336016	20260827	202608	2026	2026.6493	JUD	JUDGE						JUD													0	173	173	17	4	-5.0	6	1	6	-4.68986384266263	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	0								2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20260903173000	https://dailycaller.com/2026/09/03/karyann-parkinson-virginia-child-protective-services-walk-to-pond/
1321336017	20260827	202608	2026	2026.6493	JUD	PROSECUTING ATTORNEY						JUD			COP	POLICE						COP			1	173	173	17	4	-5.0	3	1	3	-9.52955367913145	3	Honolulu, Hawaii, United States	US	USHI	HI003	21.3069	-157.858	366212	3	Honolulu, Hawaii, United States	US	USHI	HI003	21.3069	-157.858	366212	3	Honolulu, Hawaii, United States	US	USHI	HI003	21.3069	-157.858	366212	20260903173000	https://www.dailymail.com/crime-desk/article-16102037/Veteran-Hawaii-cop-car-crash-female-victim-raped-arrested.html
